match_id,match_date,kickoff_time_local,matchday,season,stage,opponent,ohl_result,ohl_goals_ft,opponent_goals_ft,last_h2h_result,last_h2h_ohl_goals,last_h2h_opponent_goals,tickets_scanned,weather_score,weather_temp_deviation,weather_rain_mm,weather_windspeed_max_kmh,weather_sunshine_hours,has_snow,is_weekend,is_midweek,academic_week,is_public_holiday,is_school_holiday_flanders,has_promotion,promo_tickets_total,has_campaign,tickets_sold_total,pre_match_article_count,avg_ohl_interest_7d
d256yo3eng04m0fu7b4sl7wno,2022-07-30,18:15:00,2,2022/2023,Regular Season,Westerlo,W,2,0,,,,5565.0,0.09,0.9,0.0,10.2,10.3,False,True,False,48,False,True,False,0,False,5025,14.0,5.1657142857142855
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,4,2022/2023,Regular Season,Club Brugge,L,0,3,L,1,4,7440.0,0.59,5.9,0.0,16.9,11.1,False,True,False,50,False,True,False,0,False,6263,48.0,7.812857142857143
d65hmi7sq03yzr5he1k7ypus4,2022-08-27,18:15:00,6,2022/2023,Regular Season,KV Oostende,W,2,1,W,3,1,4489.0,-0.08,-0.8,0.0,13.7,3.9,False,True,False,52,False,True,False,0,False,5025,3.0,8.462857142857143
d80mkemezkz16bqh6lbn8tlhw,2022-09-10,20:45:00,8,2022/2023,Regular Season,Sporting Charleroi,W,3,2,W,3,0,4508.0,-3.64,-0.6,8.6,23.5,4.1,False,True,False,2,False,False,False,0,False,5438,8.0,7.291428571428571
dak40etbhbqsr1nxyt50qcg0k,2022-10-01,16:00:00,10,2022/2023,Regular Season,Union Saint-Gilloise,L,0,3,L,1,4,6290.0,-3.83,1.1,9.8,34.5,8.5,False,True,False,5,False,False,False,0,False,5844,,2.788571428571429
dcl81t8chgq07o8rw8orj5no4,2022-10-15,20:45:00,12,2022/2023,Regular Season,Genk,L,0,1,W,2,1,7238.0,-1.71,1.0,2.7,24.1,3.4,False,True,False,7,False,False,False,0,False,6069,58.0,5.01
dfui3aovgvfccasonp6w5ajh0,2022-10-30,18:30:00,15,2022/2023,Regular Season,Gent,D,1,1,L,0,5,7166.0,0.3,3.0,0.0,11.3,6.1,False,True,False,9,False,False,False,0,False,5842,45.0,3.6142857142857143
di0x0as1g324k0hoea1o5vvh0,2022-11-11,20:45:00,17,2022/2023,Regular Season,Seraing,W,5,0,D,1,1,5285.0,0.18,1.8,0.0,19.0,8.4,False,False,False,11,True,False,False,0,False,4688,16.0,4.342857142857143
dkbsomyigazbberxvdmjq7wgk,2023-01-08,21:00:00,19,2022/2023,Regular Season,Kortrijk,L,2,3,W,2,0,3766.0,-1.08,5.2,2.0,25.6,6.5,False,True,False,19,False,True,True,111,False,5040,10.0,2.0628571428571427
dmcif0n7veawzigj8cd5bm904,2023-01-17,18:30:00,21,2022/2023,Regular Season,Eupen,D,1,1,L,2,4,3537.0,-0.36,-3.6,0.0,23.0,8.0,False,False,True,20,False,False,False,0,False,4889,36.0,4.548571428571429
dojq6igk3d5ol4c78rkm0ugb8,2023-01-28,18:15:00,23,2022/2023,Regular Season,Sint-Truiden,D,1,1,D,0,0,6399.0,-0.25,-2.5,0.0,11.5,2.3,False,True,False,22,False,False,False,0,False,6975,4.0,5.862857142857143
dqvzs325coup7j9iqyfcazmdw,2023-02-10,20:00:00,25,2022/2023,Regular Season,Cercle Brugge,D,0,0,L,1,2,4721.0,-0.23,-2.3,0.0,18.2,1.0,False,False,False,24,False,False,False,0,False,5657,12.0,3.9728571428571433
